"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"simazine","ecxll3",0.355116013980096,"mu","identity","top",0.678304575,0.66620826075,0.6907403805
"simazine","ecxll3",0.355116013980096,"mu","identity","beta",0.070365697,-0.014480371825,0.153298762
"simazine","ecxll3",0.355116013980096,"mu","identity","ec50",126.474891209057,116.795860053081,136.623303612118
"simazine","ecx4param",0.239591272054146,"mu","identity","top",0.67454852,0.66220620475,0.687252971
"simazine","ecx4param",0.239591272054146,"mu","identity","bot",0.0669028165,0.0147049027,0.12397076
"simazine","ecx4param",0.239591272054146,"mu","identity","beta",0.195938365,0.060344412925,0.3612044795
"simazine","ecx4param",0.239591272054146,"mu","identity","ec50",102.118433275054,83.1195387817921,122.827812963829
"simazine","ecxll4",0.187817047587544,"mu","identity","top",0.674653755,0.6613610475,0.687679315
"simazine","ecxll4",0.187817047587544,"mu","identity","bot",0.065768231,0.015260594575,0.12438843275
"simazine","ecxll4",0.187817047587544,"mu","identity","beta",0.191450325,0.05913396875,0.36374325575
"simazine","ecxll4",0.187817047587544,"mu","identity","ec50",102.58169957071,83.405543711284,123.01692776445
"simazine","ecxwb1",0.117464836124217,"mu","identity","top",0.678041585,0.664603554,0.69223368
"simazine","ecxwb1",0.117464836124217,"mu","identity","bot",0.153695705,0.0776934359,0.18867658275
"simazine","ecxwb1",0.117464836124217,"mu","identity","beta",0.011426396,-0.17404538475,0.18931234725
"simazine","ecxwb1",0.117464836124217,"mu","identity","ec50",118.149716113345,99.0649546948557,163.567368801501
"simazine","ecxwb2p3",0.0614390648160768,"mu","identity","top",0.66553566,0.65412686725,0.677448494
"simazine","ecxwb2p3",0.0614390648160768,"mu","identity","beta",-0.34823368,-0.4390637645,-0.2611535505
"simazine","ecxwb2p3",0.0614390648160768,"mu","identity","ec50",71.9212988771754,64.7687651267863,79.1746181892504
"simazine","ecxwb2",0.0202142774191999,"mu","identity","top",0.66469999,0.65256102625,0.676924633
"simazine","ecxwb2",0.0202142774191999,"mu","identity","bot",0.0300770095,0.0043602355425,0.081381187175
