"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"Cu",2.46167567567568,2898.59480432269,1803.95181620366,NA,NA,NA
"Cu",2.47192432432432,2898.4675431503,1803.79833220294,NA,NA,NA
"Cu",2.48217297297297,2898.25823593935,1803.64764584934,NA,NA,NA
"Cu",2.49242162162162,2898.05261271658,1803.49969491043,NA,NA,NA
"Cu",2.50267027027027,2897.85059388515,1803.35441878602,NA,NA,NA
"Cu",2.51291891891892,2897.66239012141,1803.21175845892,NA,NA,NA
"Cu",2.52316756756757,2897.50228571808,1803.07165644737,NA,NA,NA
"Cu",2.53341621621622,2897.34500610564,1802.93405675906,NA,NA,NA
"Cu",2.54366486486486,2897.2486800506,1802.79890484674,NA,NA,NA
"Cu",2.55391351351351,2897.15765704247,1802.66614756525,NA,NA,NA
"Cu",2.56416216216216,2897.01621381871,1802.53573313014,NA,NA,NA
"Cu",2.57441081081081,2896.82238622314,1802.40761107747,NA,NA,NA
"Cu",2.58465945945946,2896.6509001899,1802.28173222515,NA,NA,NA
"Cu",2.59490810810811,2896.53508091218,1802.15804863542,NA,NA,NA
"Cu",2.60515675675676,2896.42127734259,1802.03651357864,NA,NA,NA
"Cu",2.6154054054054,2896.30944665132,1801.91708149824,NA,NA,NA
"Cu",2.62565405405405,2896.19954708218,1801.79970797683,NA,NA,NA
"Cu",2.6359027027027,2896.09153792128,1801.68434970343,NA,NA,NA
"Cu",2.64615135135135,2896.01625330646,1801.61301050704,NA,NA,NA
"Cu",2.6564,2895.96546493312,1801.5614748351,NA,NA,NA
"Cu",2.66664864864865,2895.89609888222,1801.51085999064,NA,NA,NA
"Cu",2.6768972972973,2895.82793388408,1801.46114607354,NA,NA,NA
"Cu",2.68714594594595,2895.76094460663,1801.41231368764,NA,NA,NA
"Cu",2.69739459459459,2895.69510634692,1801.36434392615,NA,NA,NA
"Cu",2.70764324324324,2895.63039501315,1801.3172183575,NA,NA,NA
"Cu",2.71789189189189,2895.56678710729,1801.27091901163,NA,NA,NA
"Cu",2.72814054054054,2895.50425970824,1801.2254283668,NA,NA,NA
"Cu",2.73838918918919,2895.4427904556,1801.18072933673,NA,NA,NA
"Cu",2.74863783783784,2895.38235753385,1801.13680525824,NA,NA,NA
"Cu",2.75888648648649,2895.32293965711,1801.09363987922,NA,NA,NA
"Cu",2.76913513513513,2895.26451605437,1801.051217347,NA,NA,NA
"Cu",2.77938378378378,2895.20706645513,1801.00952219716,NA,NA,NA
"Cu",2.78963243243243,2895.13601168842,1800.96853934258,NA,NA,NA
"Cu",2.79988108108108,2895.05871339221,1800.92825406292,NA,NA,NA
"Cu",2.81012972972973,2894.98267885529,1800.88865199439,NA,NA,NA
"Cu",2.82037837837838,2894.90788291367,1800.84971911986,NA,NA,NA
"Cu",2.83062702702703,2894.83430099347,1800.81144175929,NA,NA,NA
"Cu",2.84087567567568,2894.76190909504,1800.77380656043,NA,NA,NA
"Cu",2.85112432432432,2894.69068377728,1800.7368004898,NA,NA,NA
"Cu",2.86137297297297,2894.60209248046,1800.700410824,NA,NA,NA
"Cu",2.87162162162162,2894.5114059538,1800.66462514126,NA,NA,NA
"Cu",2.88187027027027,2894.42212204626,1800.62943131321,NA,NA,NA
"Cu",2.89211891891892,2894.33421418639,1800.59481749698,NA,NA,NA
"Cu",2.90236756756757,2894.24765639771,1800.56077212748,NA,NA,NA
"Cu",2.91261621621622,2894.16242328365,1800.52728390993,NA,NA,NA
"Cu",2.92286486486486,2894.07849001243,1800.49434181262,NA,NA,NA
"Cu",2.93311351351351,2893.99583230243,1800.46193505993,NA,NA,NA
"Cu",2.94336216216216,2893.91442640858,1800.43005312544,NA,NA,NA
"Cu",2.95361081081081,2893.8342491081,1800.39920408579,NA,NA,NA
"Cu",2.96385945945946,2893.7552776879,1800.36901935964,NA,NA,NA
"Cu",2.97410810810811,2893.67748993121,1800.33931919498,NA,NA,NA
"Cu",2.98435675675676,2893.60086410507,1800.31009418286,NA,NA,NA
"Cu",2.9946054054054,2893.52537894852,1800.28133512846,NA,NA,NA
"Cu",3.00485405405405,2893.46434647527,1800.25303304552,NA,NA,NA
"Cu",3.0151027027027,2893.42383808656,1800.22517915091,NA,NA,NA
"Cu",3.02535135135135,2893.38392406328,1800.19776485936,NA,NA,NA
"Cu",3.0356,2893.34459368229,1800.17078177837,NA,NA,NA
