"fit","x","Estimate","Q2.5","Q97.5"
"no group term",2.2567027027027,286.972002079963,203.79744362447,416.469026037596
"no group term",2.26695135135135,286.775226220794,203.556441555642,416.2313117189
"no group term",2.2772,286.60604917755,203.320372003171,416.038842877542
"no group term",2.28744864864865,286.354866899843,203.089112494987,415.866004403129
"no group term",2.2976972972973,286.173466876883,202.860738122969,415.696713737098
"no group term",2.30794594594595,285.981564048671,202.633370821617,415.530882713857
"no group term",2.31819459459459,285.791054608945,202.423022360781,415.368425736648
"no group term",2.32844324324324,285.585949303759,202.209847954538,415.209259691781
"no group term",2.33869189189189,285.409331890454,201.988424577404,415.053303866104
"no group term",2.34894054054054,285.195073017908,201.792820230117,414.900479867557
"no group term",2.35918918918919,285.007896058308,201.595151012795,414.745038444343
"no group term",2.36943783783784,284.83793479303,201.408353066891,414.564718659338
"no group term",2.37968648648649,284.65731931335,201.22979482383,414.387889285811
"no group term",2.38993513513513,284.481526866175,201.079277245364,414.214468162512
"no group term",2.40018378378378,284.321528507216,200.974618712835,414.044375402883
"no group term",2.41043243243243,284.149766791642,200.815325368822,413.877533322732
"no group term",2.42068108108108,283.993001895346,200.669890253312,413.713866370496
"no group term",2.43092972972973,283.834209319708,200.495287076484,413.55107435682
"no group term",2.44117837837838,283.688547918123,200.323981224401,413.390791565306
"no group term",2.45142702702703,283.543100180548,200.155896976062,413.229418437485
"no group term",2.46167567567568,283.365573518892,199.992246728797,413.002901210874
"no group term",2.47192432432432,283.228790042751,199.873777859077,412.780472906076
"no group term",2.48217297297297,283.057538965184,199.744093417145,412.600654406087
"no group term",2.49242162162162,282.951486690338,199.58814322536,412.484572046905
"no group term",2.50267027027027,282.80991572315,199.44366707616,412.370659782001
"no group term",2.51291891891892,282.684372290295,199.3506492211,412.258868403875
"no group term",2.52316756756757,282.556607608933,199.138367029279,412.149150015112
"no group term",2.53341621621622,282.434020114502,198.989692424978,412.041457988379
"no group term",2.54366486486486,282.308032947037,198.847147492979,411.935746927789
"no group term",2.55391351351351,282.184770797535,198.707786928539,411.829720726128
"no group term",2.56416216216216,282.057061292489,198.618825723776,411.703617493572
"no group term",2.57441081081081,281.929904288676,198.552517552315,411.579771110871
"no group term",2.58465945945946,281.82595951668,198.436290050224,411.457126358217
"no group term",2.59490810810811,281.727104797386,198.232914920489,411.322585374835
"no group term",2.60515675675676,281.625643034272,198.088249474846,411.155502115487
"no group term",2.6154054054054,281.481021099415,197.992659049346,410.990272600878
"no group term",2.62565405405405,281.360056346998,197.898786271482,410.826652990046
"no group term",2.6359027027027,281.236039808164,197.806593752415,410.658737284342
"no group term",2.64615135135135,281.115666006569,197.708263129324,410.509458304421
"no group term",2.6564,281.029917294267,197.57754789663,410.356960037519
"no group term",2.66664864864865,280.955428011455,197.449054679804,410.207038673326
"no group term",2.6768972972973,280.861702143861,197.322737383934,410.059641012364
"no group term",2.68714594594595,280.761128828801,197.198551041668,409.914715151247
"no group term",2.69739459459459,280.637991192058,197.076451781478,409.772210446319
"no group term",2.70764324324324,280.526472907331,196.971446989371,409.632077478453
"no group term",2.71789189189189,280.430368276254,196.874270111208,409.494268018955
"no group term",2.72814054054054,280.324900810539,196.805449595209,409.358650657968
"no group term",2.73838918918919,280.238829222331,196.737844935921,409.22465288564
"no group term",2.74863783783784,280.179962130302,196.67141590492,409.092851420309
"no group term",2.75888648648649,280.11863831585,196.560311352383,408.963202274437
"no group term",2.76913513513513,280.044132721825,196.409428995516,408.835662500276
"no group term",2.77938378378378,279.979667198666,196.320697408845,408.710190161567
"no group term",2.78963243243243,279.907558411055,196.234560488453,408.61665851967
"no group term",2.79988108108108,279.814012046416,196.149851061235,408.542276876468
"no group term",2.81012972972973,279.730815001179,196.066540374489,408.469147894328
"no group term",2.82037837837838,279.662728165078,195.99208358046,408.397246023226
"no group term",2.83062702702703,279.595778333308,195.929771625563,408.326546324461
"no group term",2.84087567567568,279.511028739648,195.868484032219,408.257024453878
"no group term",2.85112432432432,279.394807576882,195.759682403398,408.188656645628
"no group term",2.86137297297297,279.295334141049,195.688712752621,408.121419696411
"no group term",2.87162162162162,279.21199582898,195.643825902008,408.055290950208
"no group term",2.88187027027027,279.159322764078,195.599694843291,407.990248283489
