"model","value"
"X30",-0.630134136070306
"X30",-0.549066406722765
"X30",-0.597942624663326
"X30",0.132250335111791
"X30",-0.629027548371194
"X30",-1.36089474563671
"X30",-0.606954333283858
"X30",-0.690120003456763
"X30",-0.948070807131245
"X30",-0.829091876017546
"X30",-0.436800321571754
"X30",-0.665539383479594
"X30",-0.502432108538995
"X30",-1.01679034101486
"X30",-0.743412471469053
"X30",-1.0354754627303
"X30",-0.859780443131118
"X30",-0.825623911344734
"X30",-1.26626794870726
"X30",-1.83258146374831
"X30",-0.502530305262326
"X30",-0.974982790768102
"X30",-1.04252085954357
"X30",-1.51125709816323
"X30",-0.390500593095806
"X30",-0.817209478097513
"X30",-0.697086782192962
"X30",-0.811925090456897
"X30",-1.50814971351106
"X30",-1.00828044565757
"X30",-0.920516428890457
"X30",-0.743622154333754
"X30",-0.299926812416768
"X30",-1.06831037656082
"X30",-1.83258146374831
"X30",-0.594055374624654
"X30",-0.46077148535848
"X30",-0.496146967670094
"X30",-0.223980593438221
"X30",-0.435934510099505
"X30",-0.708418000851866
"X30",-0.689399544810062
"X30",-0.961173237063054
"X30",-0.525296746834972
"X30",-0.845988638408006
"X30",-0.443148580506726
"X30",-0.558089645544124
"X30",-0.736557272817129
"X30",-0.544584771411644
"X30",-0.315009109306938
"X30",-0.536965367844267
"X30",-0.456740608162865
"X30",-0.441532618260412
"X30",-1.07895063407324
"X30",-0.264694766686329
"X30",-0.747631957330063
"X30",-0.736167104030029
"X30",-1.03156892958622
"X30",0.354562359068158
"X30",-1.83258146374831
"X30",-0.653760975814456
"X30",-0.0819483981399238
"X30",-0.703186811528107
"X30",-0.942316662680877
"X30",-0.867653344659664
"X30",-0.562755516194937
"X30",-0.683482188703288
"X30",-0.42145930797511
"X30",-1.34030937822067
"X30",-1.3145451179745
"X30",-0.466814752648336
"X30",-0.408792851675097
"X30",-0.468429326600822
"X30",-1.23378443323999
"X30",-0.641002223384821
"X30",-0.191698585279486
"X30",-1.18346372506653
"X30",-0.635055110239446
"X30",-0.599862738198641
"X30",-0.375390498706238
"X30",-0.965908983427841
"X30",-0.252451612785281
"X30",-1.68230224548072
"X30",-0.56393985667089
"X30",-0.702397639128397
"X30",-0.349873723640545
"X30",-0.322676852788621
"X30",-0.960906224316265
"X30",-0.739416152803736
"X30",-0.960030295624079
"X30",-1.18932948602037
"X30",-0.753662107572029
"X30",-0.82151082429331
"X30",-0.645032801510198
"X30",-0.551169410753513
"X30",-0.557164786143062
"X30",-0.697816432273667
"X30",-0.711704047508897
"X30",-0.616213814808642
"X30",-1.15918543023521
"X30",-0.276093073354245
"X30",-0.268122248399275
"X30",-0.739313054251237
"X30",-0.435549960199292
"X30",-1.05427688352239
"X30",-0.637943024266263
"X30",-0.338135354299205
"X30",-0.547032756488279
"X30",-1.01199624052431
"X30",-0.943892052607428
"X30",-0.402247804107898
"X30",-1.17084447366421
"X30",-0.498021935854369
"X30",-0.43525584482896
"X30",-0.555088198041264
"X30",-0.677823727061019
"X30",-0.742870731955687
"X30",-0.774140996164261
"X30",-0.700864596934014
"X30",-0.67132325561893
"X30",-0.350236979212873
"X30",-0.386216406057683
"X30",-0.863241167638069
"X30",-1.5624734822547
"X30",-0.469715091071156
"X30",-0.764771654110399
"X30",-0.597272000395809
"X30",-0.677817418954685
"X30",-0.44111890978624
"X30",-0.872363645426546
"X30",-0.460519782658202
"X30",-0.85570726729609
"X30",-0.0109072436129163
"X30",-1.36450179374489
"X30",-0.634062899256406
"X30",-1.01840744816889
"X30",-0.722358033883272
"X30",-0.875246028482017
"X30",-0.539060698267539
"X30",-1.44323056909185
"X30",-0.830280742324853
"X30",-0.289322056465571
"X30",-0.127696206232734
"X30",-0.473482152782056
"X30",-0.851920385430208
"X30",-0.888285064230009
"X30",-0.38619565958944
"X30",-0.324588300974249
"X30",-0.955066980398339
"X30",-0.250607446048804
"X30",-0.522450388574474
"X30",-1.02999579043496
"X30",-0.599185611228533
"X30",-0.807781553067548
"X30",-0.767240300697098
"X30",-0.660020183009958
"X30",0.0675735979015409
"X30",-0.499295090253927
"X30",-0.644747006272336
"X30",-0.456778218910648
"X30",-0.729850216599076
"X30",-0.601572318780769
"X30",0.393430424059021
"X30",-0.358902008623678
"X30",-0.593042423884118
"X30",-0.813216163572222
"X30",-0.665342632401295
"X30",-0.745943431634248
"X30",-0.934628777756471
"X30",-1.02180491296621
"X30",-0.999509086526539
"X30",-0.757794690489432
"X30",0.13164551348073
"X30",-0.943871437469229
"X30",-0.344458171509591
"X30",-0.867336685384741
"X30",-1.00441497231977
"X30",-0.798543384279961
"X30",-0.694476349392084
"X30",-0.072251029137604
"X30",-1.83258146374831
"X30",-1.37658942490313
"X30",-0.942880672778728
"X30",-0.0377654193952552
"X30",-0.195090346158318
"X30",-1.1830328705858
"X30",-0.147124746047698
