"conc","rlu_cens","plate"
0.004,898342,"Cu 28Mar24 Rep1B"
0.0125392,889053,"Cu 28Mar24 Rep1B"
0.0125392,917184,"Cu 28Mar24 Rep1B"
0.0125392,835629,"Cu 28Mar24 Rep1B"
0.0125392,848494,"Cu 28Mar24 Rep1B"
0.020604,847843,"Cu 28Mar24 Rep1B"
0.020604,885076,"Cu 28Mar24 Rep1B"
0.020604,845474,"Cu 28Mar24 Rep1B"
0.020604,857887,"Cu 28Mar24 Rep1B"
0.037208,863453,"Cu 28Mar24 Rep1B"
0.037208,830366,"Cu 28Mar24 Rep1B"
0.037208,805987,"Cu 28Mar24 Rep1B"
0.037208,851217,"Cu 28Mar24 Rep1B"
0.070416,707341,"Cu 28Mar24 Rep1B"
0.070416,643242,"Cu 28Mar24 Rep1B"
0.070416,732367,"Cu 28Mar24 Rep1B"
0.070416,683044,"Cu 28Mar24 Rep1B"
0.1373064,506678,"Cu 28Mar24 Rep1B"
0.1373064,617941,"Cu 28Mar24 Rep1B"
0.1373064,372793,"Cu 28Mar24 Rep1B"
0.1373064,417201,"Cu 28Mar24 Rep1B"
0.2710872,5624,"Cu 28Mar24 Rep1B"
0.2710872,9053,"Cu 28Mar24 Rep1B"
0.2710872,20867,"Cu 28Mar24 Rep1B"
0.2710872,18596,"Cu 28Mar24 Rep1B"
0.5377,2807,"Cu 28Mar24 Rep1B"
0.5377,2067,"Cu 28Mar24 Rep1B"
0.5377,1833,"Cu 28Mar24 Rep1B"
0.5377,2174,"Cu 28Mar24 Rep1B"
1.0714,76,"Cu 28Mar24 Rep1B"
1.0714,111,"Cu 28Mar24 Rep1B"
1.0714,19,"Cu 28Mar24 Rep1B"
1.0714,243,"Cu 28Mar24 Rep1B"
2.1388,2289,"Cu 28Mar24 Rep1B"
2.1388,173,"Cu 28Mar24 Rep1B"
2.1388,377,"Cu 28Mar24 Rep1B"
2.1388,1504,"Cu 28Mar24 Rep1B"
4.2736,419,"Cu 28Mar24 Rep1B"
4.2736,93,"Cu 28Mar24 Rep1B"
4.2736,283,"Cu 28Mar24 Rep1B"
4.2736,503,"Cu 28Mar24 Rep1B"
0.004,962307,"Cu 28Mar24 Rep2B"
0.004,982041,"Cu 28Mar24 Rep2B"
